ano,txDescricaoCategoriaEconomica,qtd_empenhos,valTotalEmpenhado,valEmpenhadoLiquido,valLiquidado,valPagoExercicio
2019,Despesas de Capital,14,82657348.02,46784135.64,37553649.34,26328622.96
2020,Despesas de Capital,84,301879990.03,157256014.03,111244244.96,106432883.0
2021,Despesas de Capital,35,91994110.79,87382921.67,87141720.86,87141720.86
2022,Despesas de Capital,59,121577107.66,47189857.75,27218321.87,25497924.21
2022,Despesas Correntes,10,2789560.81,355634.76,355634.76,355634.76
2023,Despesas de Capital,450,1322248159.05,792798476.12,668917537.44,650746819.23
2023,Despesas Correntes,6,7205903.32,5732544.52,4561508.41,4561508.41
2024,Despesas de Capital,417,444555167.18,364144247.03,309578946.49,284472464.12
2025,Despesas de Capital,436,520212203.96,463722511.37,195888088.55,194800293.62
2026,Despesas de Capital,116,89810465.47,89229435.52,26996316.27,24399940.77
